,year,mileage,engineSize,Automatic,Manual,OtherTransmission,Semi-Auto,Diesel,Hybrid,OtherFuel,Petrol,price
1581,2017,45595,2.0,0,0,0,1,0,1,0,0,18632
1582,2019,10062,2.0,1,0,0,0,1,0,0,0,30666
1583,2019,9339,2.0,0,0,0,1,1,0,0,0,31876
1584,2019,5019,1.5,1,0,0,0,0,0,0,1,26866
1585,2019,8351,2.0,0,0,0,1,1,0,0,0,28825
1586,2018,10267,2.1,0,0,0,1,1,0,0,0,21492
1587,2019,8013,1.5,1,0,0,0,0,0,0,1,29386
1588,2018,15488,1.5,0,0,0,1,0,0,0,1,23522
1589,2017,14812,1.6,0,0,0,1,1,0,0,0,18801
1590,2017,18758,2.0,0,0,0,1,0,0,0,1,18495
1591,2019,8439,1.6,0,0,0,1,1,0,0,0,26450
1592,2018,11828,2.1,0,0,0,1,1,0,0,0,19495
1593,2019,6877,2.0,0,0,0,1,0,0,0,1,32500
1594,2020,250,3.0,0,0,0,1,0,0,0,1,54000
1595,2018,6983,2.1,0,0,0,1,1,0,0,0,25750
1596,2019,13695,2.0,0,0,0,1,1,0,0,0,19750
1597,2019,11980,2.0,0,0,0,1,1,0,0,0,26995
1598,2018,10179,2.0,0,0,0,1,1,0,0,0,27950
1599,2019,11471,2.0,1,0,0,0,1,0,0,0,32026
1600,2018,9305,2.1,0,0,0,1,1,0,0,0,24222
1601,2019,7050,2.0,0,0,0,1,0,0,0,1,28390
1602,2019,4074,1.5,1,0,0,0,0,0,0,1,25890
1603,2019,13924,1.5,0,0,0,1,0,0,0,1,19980
1604,2019,11581,2.0,0,0,0,1,1,0,0,0,25980
1605,2019,3846,1.6,0,0,0,1,1,0,0,0,27980
1606,2018,2075,1.5,1,0,0,0,0,0,0,1,27980
1607,2019,6096,1.5,0,0,0,1,0,0,0,1,29480
1608,2019,10204,3.0,0,0,0,1,0,0,0,1,42900
1609,2019,10261,3.0,0,0,0,1,0,0,0,1,37500
1610,2019,4396,2.0,0,0,0,1,1,0,0,0,27500
