,year,price,mileage,engine_size,Automatic,Manual,OtherTransmission,Semi-Auto,Diesel,Hybrid,OtherFuel,Petrol
158,2015,12495,50374.0,2.1,0,0,0,1,1,0,0,0
159,2015,17498,42471.0,2.1,0,0,0,1,0,1,0,0
160,2016,16198,41974.0,2.1,0,1,0,0,1,0,0,0
161,2017,18498,20618.0,2.1,0,0,0,1,1,0,0,0
162,2019,24998,15536.0,1.5,0,0,0,1,0,0,0,1
163,2019,24998,16103.0,1.5,0,0,0,1,0,0,0,1
164,2019,21998,14576.0,1.5,0,0,0,1,0,0,0,1
165,2018,29498,6198.0,2.0,0,0,0,1,1,0,0,0
166,2018,29498,6265.0,2.0,0,0,0,1,1,0,0,0
167,2016,16998,21786.0,2.1,0,0,0,1,1,0,0,0
168,2019,33998,1558.0,1.5,0,0,0,1,0,0,0,1
169,2019,32998,2258.0,1.5,0,0,0,1,0,0,0,1
170,2017,18998,26866.0,2.1,0,0,0,1,1,0,0,0
171,2019,32498,1887.0,1.5,0,0,0,1,0,0,0,1
172,2017,25798,9676.0,2.1,0,0,0,1,1,0,0,0
173,2018,20498,7894.0,2.1,0,0,0,1,1,0,0,0
174,2017,18498,26179.0,2.1,0,0,0,1,1,0,0,0
175,2016,14498,21945.0,2.0,0,1,0,0,0,0,0,1
176,2019,29498,2195.0,2.0,0,0,0,1,1,0,0,0
177,2017,17998,16291.0,2.0,0,0,0,1,0,0,0,1
178,2015,13498,38438.0,2.1,0,1,0,0,1,0,0,0
179,2016,19698,25107.0,2.0,1,0,0,0,0,1,0,0
180,2017,22498,20491.0,2.1,0,0,0,1,0,1,0,0
181,2015,11998,52792.0,1.6,0,1,0,0,1,0,0,0
182,2013,11998,30035.0,1.6,0,0,0,1,0,0,0,1
183,2020,39998,3620.0,2.0,0,0,0,1,0,1,0,0
184,2019,23498,19204.0,2.0,0,0,0,1,1,0,0,0
185,2019,57998,10.0,4.0,0,0,0,1,0,0,0,1
186,2015,16315,46155.0,2.1,0,0,0,1,1,0,0,0
187,2016,13991,49494.0,2.1,0,0,0,1,1,0,0,0
188,2016,16998,43014.0,2.1,0,0,0,1,1,0,0,0
189,2017,16498,29283.0,2.1,0,0,0,1,1,0,0,0
190,2016,16998,38830.0,2.1,0,0,0,1,1,0,0,0
191,2016,13690,49761.0,2.1,0,1,0,0,1,0,0,0
192,2014,14490,31801.0,2.1,0,0,0,1,1,0,0,0
193,2017,17998,22349.0,2.0,0,0,0,1,0,0,0,1
194,2019,29998,8520.0,2.0,0,0,0,1,1,0,0,0
195,2017,18998,27493.0,2.1,0,0,0,1,0,1,0,0
196,2018,18998,15075.0,2.0,0,0,0,1,0,0,0,1
197,2019,28998,5116.0,2.0,0,0,0,1,1,0,0,0
198,2019,24998,15009.0,1.5,0,0,0,1,0,0,0,1
199,2018,27998,6787.0,2.0,0,0,0,1,1,0,0,0
200,2015,16798,32409.0,2.1,0,0,0,1,1,0,0,0
201,2017,19998,23690.0,2.1,0,0,0,1,1,0,0,0
202,2020,29950,101.0,2.0,0,0,0,1,1,0,0,0
203,2017,20790,22485.0,2.1,0,0,0,1,0,1,0,0
204,2013,9490,41921.0,1.6,0,0,0,1,0,0,0,1
205,2017,15690,35488.0,2.1,0,0,0,1,1,0,0,0
206,2017,14990,41647.0,2.1,0,1,0,0,1,0,0,0
207,2015,17290,24923.0,2.1,0,0,0,1,1,0,0,0
208,2018,19490,11810.0,2.1,0,0,0,1,1,0,0,0
209,2019,28990,2000.0,2.0,0,0,0,1,1,0,0,0
210,2017,24990,6668.0,2.1,1,0,0,0,1,0,0,0
211,2014,28990,19562.0,6.2,0,0,0,1,0,0,0,1
212,2016,16298,29201.0,1.6,0,0,0,1,1,0,0,0
213,2016,14698,19864.0,2.1,0,1,0,0,1,0,0,0
214,2016,13998,22117.0,2.0,0,1,0,0,0,0,0,1
215,2015,14698,43331.0,2.1,0,0,0,1,1,0,0,0
216,2014,10498,51929.0,2.1,0,0,0,1,1,0,0,0
217,2015,11998,42245.0,2.1,0,0,0,1,1,0,0,0
218,2016,15698,42062.0,2.0,1,0,0,0,0,0,0,1
219,2015,16998,43883.0,2.1,0,0,0,1,1,0,0,0
220,2016,17998,36587.0,2.0,0,0,0,1,0,1,0,0
221,2017,20998,42036.0,2.1,0,0,0,1,1,0,0,0
222,2016,13691,36538.0,1.6,0,0,0,1,1,0,0,0
223,2014,13491,56000.0,2.1,0,1,0,0,1,0,0,0
224,2017,21998,11986.0,2.0,0,0,0,1,0,0,0,1
225,2015,14500,38783.0,2.1,0,0,0,1,1,0,0,0
226,2017,15990,38051.0,2.1,0,0,0,1,1,0,0,0
227,2016,20490,10542.0,2.0,0,0,0,1,0,0,0,1
228,2018,20890,3033.0,1.5,0,0,0,1,0,0,0,1
229,2014,14490,59884.0,2.1,0,0,0,1,1,0,0,0
230,2018,21990,1871.0,1.5,0,0,0,1,0,0,0,1
231,2015,14750,32594.0,2.1,0,0,0,1,1,0,0,0
232,2019,44990,1474.0,3.0,1,0,0,0,0,0,0,1
233,2019,24690,15210.0,1.5,0,0,0,1,0,0,0,1
234,2017,18270,49783.0,2.1,0,0,0,1,1,0,0,0
235,2018,26625,7175.0,2.0,1,0,0,0,1,0,0,0
236,2015,13361,35034.0,2.0,0,0,0,1,0,0,0,1
237,2017,17490,35576.0,2.1,0,0,0,1,1,0,0,0
238,2019,26427,13888.0,2.0,1,0,0,0,1,0,0,0
239,2019,29290,4703.0,2.0,0,0,0,1,1,0,0,0
240,2017,23047,8143.0,2.1,0,0,0,1,1,0,0,0
241,2015,13621,57066.0,1.6,0,0,0,1,1,0,0,0
242,2017,18200,25296.0,2.1,0,0,0,1,1,0,0,0
243,2017,16991,29907.0,2.1,0,0,0,1,1,0,0,0
244,2018,23498,5659.0,2.0,0,0,0,1,0,0,0,1
245,2015,14698,23063.0,2.1,0,0,0,1,1,0,0,0
246,2013,9798,60948.0,2.1,0,0,0,1,1,0,0,0
247,2016,17998,32769.0,2.1,1,0,0,0,1,0,0,0
248,2017,18998,20949.0,2.1,1,0,0,0,1,0,0,0
249,2016,20700,27890.0,2.1,0,0,0,1,1,0,0,0
250,2015,16990,11954.0,2.1,0,0,0,1,1,0,0,0
251,2014,11791,42879.0,2.1,0,0,0,1,1,0,0,0
252,2015,18191,11470.0,1.6,0,0,0,1,1,0,0,0
253,2016,20991,26205.0,2.1,0,0,0,1,1,0,0,0
254,2017,13321,61305.0,1.6,0,0,0,1,1,0,0,0
255,2016,21998,10561.0,2.1,0,0,0,1,1,0,0,0
256,2017,15998,72939.0,2.0,0,0,0,1,0,1,0,0
257,2015,13498,31125.0,2.1,0,1,0,0,1,0,0,0
258,2017,20871,37194.0,2.1,0,0,0,1,1,0,0,0
259,2018,25891,2240.0,2.0,0,0,0,1,0,0,0,1
260,2017,20591,21023.0,2.1,0,0,0,1,1,0,0,0
261,2016,19991,35975.0,2.1,0,0,0,1,1,0,0,0
262,2015,15990,55226.0,2.1,0,0,0,1,1,0,0,0
263,2019,30055,3686.0,2.0,1,0,0,0,1,0,0,0
264,2017,21650,33943.0,2.0,1,0,0,0,0,0,0,1
265,2018,25990,9699.0,2.0,0,0,0,1,0,0,0,1
266,2017,17690,25059.0,2.1,0,0,0,1,1,0,0,0
267,2019,30950,101.0,2.0,1,0,0,0,1,0,0,0
268,2019,24950,7006.0,1.5,1,0,0,0,0,0,0,1
269,2015,14998,38671.0,2.1,0,0,0,1,1,0,0,0
270,2017,19798,19877.0,2.0,0,0,0,1,0,1,0,0
271,2019,24498,7937.0,1.5,0,0,0,1,0,0,0,1
272,2018,19991,20027.0,2.1,0,0,0,1,1,0,0,0
273,2017,21991,19953.0,2.1,0,0,0,1,1,0,0,0
274,2018,22591,18551.0,2.1,0,0,0,1,1,0,0,0
275,2019,18790,14288.0,2.1,0,0,0,1,1,0,0,0
276,2019,25950,10485.0,1.5,1,0,0,0,0,0,0,1
277,2020,29950,101.0,2.0,0,0,0,1,1,0,0,0
278,2017,14990,27424.0,2.1,0,0,0,1,1,0,0,0
279,2020,31950,2985.0,2.0,1,0,0,0,1,0,0,0
280,2016,20990,36051.0,2.1,0,0,0,1,1,0,0,0
281,2020,28990,3458.0,1.5,1,0,0,0,0,0,0,1
282,2019,27000,6406.0,2.0,0,0,0,1,1,0,0,0
283,2015,12590,65000.0,2.1,0,0,0,1,1,0,0,0
284,2018,20885,22773.0,2.1,0,0,0,1,1,0,0,0
285,2014,25885,37000.0,6.2,0,0,0,1,0,0,0,1
286,2016,14965,30487.0,2.1,0,0,0,1,1,0,0,0
287,2017,16595,29814.0,2.1,1,0,0,0,1,0,0,0
288,2018,17940,28050.0,2.1,0,0,0,1,1,0,0,0
289,2018,19940,18882.0,2.1,0,0,0,1,1,0,0,0
290,2016,16498,27034.0,1.6,0,0,0,1,1,0,0,0
291,2016,14500,40620.0,1.6,0,0,0,1,1,0,0,0
292,2019,27791,9057.0,2.0,0,0,0,1,1,0,0,0
